79000,Estuari Garden,Iskandar Puteri,Johor
79000,Pusat Pentadbiran Kerajaan Negeri Johor,Iskandar Puteri,Johor
79000,Puteri Harbour,Iskandar Puteri,Johor
79050,Lebuh Kota Iskandar,Iskandar Puteri,Johor
79100,Horizon Hills,Iskandar Puteri,Johor
79100,Taman Bukit Indah,Iskandar Puteri,Johor
79100,Taman Nusa Idaman,Iskandar Puteri,Johor
79100,Taman Nusa Indah Tropicana,Iskandar Puteri,Johor
79100,Taman Nusa Indah,Iskandar Puteri,Johor
79150,Taman Nusa Bestari 2,Iskandar Puteri,Johor
79150,Taman Nusa Bestari Jaya,Iskandar Puteri,Johor
79150,Taman Nusa Bestari,Iskandar Puteri,Johor
79150,Taman Nusa Duta,Iskandar Puteri,Johor
79150,Taman Nusa Jaya Mas,Iskandar Puteri,Johor
79200,Kota Ilmu Educity@Iskandar,Iskandar Puteri,Johor
79200,Multimedia Universiti (MMU),Iskandar Puteri,Johor
79200,Nusa Cemerlang,Iskandar Puteri,Johor
79200,Perindustrian Nusa Jaya,Iskandar Puteri,Johor
79200,Perumahan Kerajaan,Iskandar Puteri,Johor
79200,Rumah Iskandar Malaysia,Iskandar Puteri,Johor
79200,Southern Industrial & Logistics Clusters,Iskandar Puteri,Johor
79200,Taman Industri Nusaya 1,Iskandar Puteri,Johor
79200,Taman Nusa Cemerlang Industrial Park,Iskandar Puteri,Johor
79200,Taman Nusa Perdana,Iskandar Puteri,Johor
79200,Taman Nusa Perintis 1,Iskandar Puteri,Johor
79200,Taman Nusa Perintis 2,Iskandar Puteri,Johor
79200,Taman Nusa Perintis 3,Iskandar Puteri,Johor
79200,Taman Nusa Perintis,Iskandar Puteri,Johor
79200,Taman Nusantara Prima,Iskandar Puteri,Johor
79200,Taman Nusantara,Iskandar Puteri,Johor
79200,Taman Teknologi Nusajaya,Iskandar Puteri,Johor
79250,Bandar Medini Iskandar Malaysia,Iskandar Puteri,Johor
79250,Centre Ledang Heights,Iskandar Puteri,Johor
79250,East Ledang,Iskandar Puteri,Johor
79250,Jalan Medini Utara 8,Iskandar Puteri,Johor
79250,Kompleks Kastam (CIQ),Iskandar Puteri,Johor
79250,Ledang Heights 1,Iskandar Puteri,Johor
79250,Ledang Heights 2,Iskandar Puteri,Johor
79250,Ledang Heights,Iskandar Puteri,Johor
79250,Persiaran Medini Sentral 1,Iskandar Puteri,Johor
79502,YAB Menteri Besar,Iskandar Puteri,Johor
79503,Setiausaha Kerajaan Negeri,Iskandar Puteri,Johor
79503,Unit Perancang Ekonomi,Iskandar Puteri,Johor
79504,Biro Bantuan Guaman,Iskandar Puteri,Johor
79505,Biro Pengaduan Awam,Iskandar Puteri,Johor
79511,Badan Kawal Selia Air Negeri Johor (BAKAJ),Iskandar Puteri,Johor
79513,Unit Media Dan Komunikasi,Iskandar Puteri,Johor
79514,Jabatan Perangkaan,Iskandar Puteri,Johor
79517,Jabatan Perpaduan Negara,Iskandar Puteri,Johor
79518,Ketua Audit Negeri Johor,Iskandar Puteri,Johor
79520,Suruhanjaya Perkhidmatan Awam,Iskandar Puteri,Johor
79521,Pusat Pelaburan Johor,Iskandar Puteri,Johor
79523,Sains Teknologi Dan ICT Negeri Johor,Iskandar Puteri,Johor
79532,Jabatan Sumber Manusia,Iskandar Puteri,Johor
79538,Jabatan Keselamatan Sosial (PERKESO),Iskandar Puteri,Johor
79540,Jabatan Tenaga Rakyat,Iskandar Puteri,Johor
79546,Pejabat Rela Negeri Johor,Iskandar Puteri,Johor
79548,Jabatan Hal Ehwal Orang Asli,Iskandar Puteri,Johor
79550,Jabatan Imigresen,Iskandar Puteri,Johor
79552,Jabatan Pendaftar Pertubuhan,Iskandar Puteri,Johor
79555,Pejabat EXCO,Iskandar Puteri,Johor
79570,Jabatan Belia Dan Sukan,Iskandar Puteri,Johor
79575,Perbadanan Taman Negara,Iskandar Puteri,Johor
79576,Jabatan Tanah Dan Galian,Iskandar Puteri,Johor
